[2021-12-07 17:50:23] {main_widget.py:222} WARNING - Not Auto Login Now.
[2021-12-07 17:50:33] {main_widget.py:222} WARNING - Not Auto Login Now.
[2021-12-07 17:50:35] {main_widget.py:161} WARNING - User Config is Updated
[2021-12-07 17:50:43] {main_widget.py:222} WARNING - Not Auto Login Now.
[2021-12-07 17:50:53] {main_widget.py:222} WARNING - Not Auto Login Now.
[2021-12-07 17:50:56] {main_widget.py:91} WARNING - Launch Thread Start: start login and online status check
[2021-12-07 17:50:56] {main_widget.py:190} WARNING - Change Launch Status: True
[2021-12-07 17:51:03] {main_widget.py:196} INFO - {'client_ip': '113.54.156.99', 'ecode': 0, 'error': 'not_online_error', 'error_msg': '', 'online_ip': '113.54.156.99', 'res': 'not_online_error', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'st': 1638870854}
[2021-12-07 17:51:03] {main_widget.py:206} CRITICAL - {'client_ip': '113.54.156.99', 'ecode': 0, 'error': 'not_online_error', 'error_msg': '', 'online_ip': '113.54.156.99', 'res': 'not_online_error', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'st': 1638870854}
[2021-12-07 17:51:03] {main_widget.py:209} INFO - {'client_ip': '113.54.156.99', 'ecode': 'E2901', 'error': 'login_error', 'error_msg': 'E2901: (Third party 1)ldap_first_entry error', 'online_ip': '113.54.156.99', 'res': 'login_error', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'st': 1638870854}
[2021-12-07 17:51:03] {main_widget.py:212} CRITICAL - Login Res：E2901: (Third party 1)ldap_first_entry error
[2021-12-07 17:51:13] {main_widget.py:196} INFO - {'client_ip': '113.54.156.99', 'ecode': 0, 'error': 'not_online_error', 'error_msg': '', 'online_ip': '113.54.156.99', 'res': 'not_online_error', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'st': 1638870864}
[2021-12-07 17:51:13] {main_widget.py:206} CRITICAL - {'client_ip': '113.54.156.99', 'ecode': 0, 'error': 'not_online_error', 'error_msg': '', 'online_ip': '113.54.156.99', 'res': 'not_online_error', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'st': 1638870864}
[2021-12-07 17:51:13] {main_widget.py:209} INFO - {'client_ip': '113.54.156.99', 'ecode': 'E2901', 'error': 'login_error', 'error_msg': 'E2901: (Third party 1)ldap_first_entry error', 'online_ip': '113.54.156.99', 'res': 'login_error', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'st': 1638870864}
[2021-12-07 17:51:13] {main_widget.py:212} CRITICAL - Login Res：E2901: (Third party 1)ldap_first_entry error
[2021-12-07 17:51:23] {main_widget.py:196} INFO - {'client_ip': '113.54.156.99', 'ecode': 0, 'error': 'not_online_error', 'error_msg': '', 'online_ip': '113.54.156.99', 'res': 'not_online_error', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'st': 1638870874}
[2021-12-07 17:51:23] {main_widget.py:206} CRITICAL - {'client_ip': '113.54.156.99', 'ecode': 0, 'error': 'not_online_error', 'error_msg': '', 'online_ip': '113.54.156.99', 'res': 'not_online_error', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'st': 1638870874}
[2021-12-07 17:51:23] {main_widget.py:209} INFO - {'client_ip': '113.54.156.99', 'ecode': 'E2901', 'error': 'login_error', 'error_msg': 'E2901: (Third party 1)ldap_first_entry error', 'online_ip': '113.54.156.99', 'res': 'login_error', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'st': 1638870874}
[2021-12-07 17:51:23] {main_widget.py:212} CRITICAL - Login Res：E2901: (Third party 1)ldap_first_entry error
[2021-12-07 17:51:33] {main_widget.py:196} INFO - {'client_ip': '113.54.156.99', 'ecode': 0, 'error': 'not_online_error', 'error_msg': '', 'online_ip': '113.54.156.99', 'res': 'not_online_error', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'st': 1638870884}
[2021-12-07 17:51:33] {main_widget.py:206} CRITICAL - {'client_ip': '113.54.156.99', 'ecode': 0, 'error': 'not_online_error', 'error_msg': '', 'online_ip': '113.54.156.99', 'res': 'not_online_error', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'st': 1638870884}
[2021-12-07 17:51:33] {main_widget.py:209} INFO - {'client_ip': '113.54.156.99', 'ecode': 'E2901', 'error': 'login_error', 'error_msg': 'E2901: (Third party 1)ldap_first_entry error', 'online_ip': '113.54.156.99', 'res': 'login_error', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'st': 1638870884}
[2021-12-07 17:51:38] {main_widget.py:161} WARNING - User Config is Updated
[2021-12-07 17:51:43] {main_widget.py:196} INFO - {'client_ip': '113.54.156.99', 'ecode': 0, 'error': 'not_online_error', 'error_msg': '', 'online_ip': '113.54.156.99', 'res': 'not_online_error', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'st': 1638870894}
[2021-12-07 17:51:43] {main_widget.py:206} CRITICAL - {'client_ip': '113.54.156.99', 'ecode': 0, 'error': 'not_online_error', 'error_msg': '', 'online_ip': '113.54.156.99', 'res': 'not_online_error', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'st': 1638870894}
[2021-12-07 17:51:43] {main_widget.py:209} INFO - {'ServerFlag': 0, 'ServicesIntfServerIP': '0.0.0.0', 'ServicesIntfServerPort': '8001', 'access_token': '555fa587db9cab7a5df85405b775bd91c96abe1a95d101df5414194ded9de3a6', 'checkout_date': 0, 'client_ip': '113.54.156.99', 'ecode': 0, 'error': 'ok', 'error_msg': '', 'online_ip': '113.54.156.99', 'ploy_msg': 'E0000: Login is successful.', 'real_name': '', 'remain_flux': 0, 'remain_times': 0, 'res': 'ok', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'suc_msg': 'login_ok', 'sysver': '1.01.20181212', 'username': '202021081104@dx-uestc', 'wallet_balance': 0}
[2021-12-07 17:51:43] {main_widget.py:218} WARNING - Login Res：ok； Login IP：113.54.156.99
[2021-12-07 17:51:53] {main_widget.py:196} INFO - {'ServerFlag': 4294967040, 'add_time': 1638871021, 'all_bytes': 0, 'bytes_in': 0, 'bytes_out': 0, 'checkout_date': 0, 'domain': 'dx-uestc', 'error': 'ok', 'keepalive_time': 1638870905, 'online_ip': '113.54.156.99', 'real_name': '', 'remain_seconds': 0, 'sum_bytes': 1416828465890, 'sum_seconds': 17192462, 'sysver': '1.01.20181212', 'user_balance': 0, 'user_charge': 0, 'user_mac': '7c:10:c9:1d:e1:17', 'user_name': '202021081104', 'wallet_balance': 0}
[2021-12-07 17:52:01] {main_widget.py:134} INFO - 本程序仅供学习，严禁用于非法用途！更多详情请访问github！
[2021-12-07 17:52:03] {main_widget.py:196} INFO - {'ServerFlag': 4294967040, 'add_time': 1638871021, 'all_bytes': 0, 'bytes_in': 0, 'bytes_out': 0, 'checkout_date': 0, 'domain': 'dx-uestc', 'error': 'ok', 'keepalive_time': 1638870915, 'online_ip': '113.54.156.99', 'real_name': '', 'remain_seconds': 0, 'sum_bytes': 1416828465890, 'sum_seconds': 17192462, 'sysver': '1.01.20181212', 'user_balance': 0, 'user_charge': 0, 'user_mac': '7c:10:c9:1d:e1:17', 'user_name': '202021081104', 'wallet_balance': 0}
[2021-12-07 17:52:13] {main_widget.py:196} INFO - {'ServerFlag': 4294967040, 'add_time': 1638871021, 'all_bytes': 0, 'bytes_in': 0, 'bytes_out': 0, 'checkout_date': 0, 'domain': 'dx-uestc', 'error': 'ok', 'keepalive_time': 1638870925, 'online_ip': '113.54.156.99', 'real_name': '', 'remain_seconds': 0, 'sum_bytes': 1416828465890, 'sum_seconds': 17192462, 'sysver': '1.01.20181212', 'user_balance': 0, 'user_charge': 0, 'user_mac': '7c:10:c9:1d:e1:17', 'user_name': '202021081104', 'wallet_balance': 0}
[2021-12-07 17:52:23] {main_widget.py:196} INFO - {'ServerFlag': 4294967040, 'add_time': 1638871021, 'all_bytes': 0, 'bytes_in': 0, 'bytes_out': 0, 'checkout_date': 0, 'domain': 'dx-uestc', 'error': 'ok', 'keepalive_time': 1638870935, 'online_ip': '113.54.156.99', 'real_name': '', 'remain_seconds': 0, 'sum_bytes': 1416828465890, 'sum_seconds': 17192462, 'sysver': '1.01.20181212', 'user_balance': 0, 'user_charge': 0, 'user_mac': '7c:10:c9:1d:e1:17', 'user_name': '202021081104', 'wallet_balance': 0}
[2021-12-07 17:52:33] {main_widget.py:196} INFO - {'ServerFlag': 4294967040, 'add_time': 1638871021, 'all_bytes': 0, 'bytes_in': 0, 'bytes_out': 0, 'checkout_date': 0, 'domain': 'dx-uestc', 'error': 'ok', 'keepalive_time': 1638870945, 'online_ip': '113.54.156.99', 'real_name': '', 'remain_seconds': 0, 'sum_bytes': 1416828465890, 'sum_seconds': 17192462, 'sysver': '1.01.20181212', 'user_balance': 0, 'user_charge': 0, 'user_mac': '7c:10:c9:1d:e1:17', 'user_name': '202021081104', 'wallet_balance': 0}
[2021-12-07 17:52:43] {main_widget.py:196} INFO - {'ServerFlag': 4294967040, 'add_time': 1638871021, 'all_bytes': 0, 'bytes_in': 0, 'bytes_out': 0, 'checkout_date': 0, 'domain': 'dx-uestc', 'error': 'ok', 'keepalive_time': 1638870955, 'online_ip': '113.54.156.99', 'real_name': '', 'remain_seconds': 0, 'sum_bytes': 1416828465890, 'sum_seconds': 17192462, 'sysver': '1.01.20181212', 'user_balance': 0, 'user_charge': 0, 'user_mac': '7c:10:c9:1d:e1:17', 'user_name': '202021081104', 'wallet_balance': 0}
[2021-12-07 18:33:17] {main_widget.py:196} INFO - {'client_ip': '113.54.156.99', 'ecode': 0, 'error': 'not_online_error', 'error_msg': '', 'online_ip': '113.54.156.99', 'res': 'not_online_error', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'st': 1638873389}
[2021-12-07 18:33:17] {main_widget.py:206} CRITICAL - {'client_ip': '113.54.156.99', 'ecode': 0, 'error': 'not_online_error', 'error_msg': '', 'online_ip': '113.54.156.99', 'res': 'not_online_error', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'st': 1638873389}
[2021-12-07 18:33:17] {main_widget.py:209} INFO - {'ServerFlag': 0, 'ServicesIntfServerIP': '0.0.0.0', 'ServicesIntfServerPort': '8001', 'access_token': '75363379aae99854d9fa14324ae01f73bd6b990e184aa12a67fe4b47f51cb4b3', 'checkout_date': 0, 'client_ip': '113.54.156.99', 'ecode': 0, 'error': 'ok', 'error_msg': '', 'online_ip': '113.54.156.99', 'ploy_msg': 'E0000: Login is successful.', 'real_name': '', 'remain_flux': 0, 'remain_times': 0, 'res': 'ok', 'srun_ver': 'SRunCGIAuthIntfSvr V1.18 B20181212', 'suc_msg': 'login_ok', 'sysver': '1.01.20181212', 'username': '202021081104@dx-uestc', 'wallet_balance': 0}
[2021-12-07 18:33:17] {main_widget.py:218} WARNING - Login Res：ok； Login IP：113.54.156.99
[2021-12-07 18:33:27] {main_widget.py:196} INFO - {'ServerFlag': 4294967040, 'add_time': 1638873515, 'all_bytes': 0, 'bytes_in': 0, 'bytes_out': 0, 'checkout_date': 0, 'domain': 'dx-uestc', 'error': 'ok', 'keepalive_time': 1638873399, 'online_ip': '113.54.156.99', 'real_name': '', 'remain_seconds': 0, 'sum_bytes': 1416832045794, 'sum_seconds': 17192743, 'sysver': '1.01.20181212', 'user_balance': 0, 'user_charge': 0, 'user_mac': '7c:10:c9:1d:e1:17', 'user_name': '202021081104', 'wallet_balance': 0}
